2A_element_perfect,2F_element_perfect,2Lo_element_perfect,2Lz_element_perfect,2S_element_perfect,2T_element_perfect,3A_element_perfect,3F_element_perfect,3Lo_element_perfect,3Lz_element_perfect,3S_element_perfect,3T_element_perfect,4F_element_perfect,4Lo_element_perfect,4Lz_element_perfect,4S_element_perfect,4T_element_perfect,A_element_perfect,CCSp2_element_perfect,CCSp3_element_perfect,CCSp4_element_perfect,CCSpB_element_perfect,CCSp_element_perfect,CCoSp2_element_perfect,CCoSp3_element_perfect,CCoSp4_element_perfect,CCoSpB_element_perfect,CCoSp_element_perfect,CSSp2_element_perfect,CSSp3_element_perfect,CSSp4_element_perfect,CSSpB_element_perfect,CSSp_element_perfect,CSp2_element_perfect,CSp3_element_perfect,CSp4_element_perfect,CSpB_element_perfect,CSp_element_perfect,ChS_element_perfect,ChSpl_element_perfect,CoSp2_element_perfect,CoSpB_element_perfect,CoSp_element_perfect,Eu_element_perfect,FCCSp4_element_perfect,FCCoSp2_element_perfect,FCCoSp3_element_perfect,FCCoSp4_element_perfect,FCCoSpB_element_perfect,FCCoSp_element_perfect,FCSSp2_element_perfect,FCSSp3_element_perfect,FCSSp4_element_perfect,FCSSpB_element_perfect,FCSSp_element_perfect,FCSp2_element_perfect,FCSp3_element_perfect,FCSp4_element_perfect,FCSpB_element_perfect,FCSp_element_perfect,FCoSp2_element_perfect,FCoSp_element_perfect,FLSp2_element_perfect,FLSp3_element_perfect,FLSp4_element_perfect,FSSp2_element_perfect,FSSp3_element_perfect,FSSp4_element_perfect,FSSpB_element_perfect,FSSp_element_perfect,FSsp2_element_perfect,FUSp_element_perfect,F_element_perfect,LSp2_element_perfect,LSp3_element_perfect,LSp4_element_perfect,LSpB_element_perfect,LSp_element_perfect,Lo_element_perfect,Lz_element_perfect,SSp2_element_perfect,SSp3_element_perfect,SSp4_element_perfect,SSpB_element_perfect,SSp_element_perfect,S_element_perfect,Sp_element_perfect,StSq2_element_perfect,StSq3_element_perfect,StSq4_element_perfect,StSqB_element_perfect,StSq_element_perfect,T_element_perfect,USpB_element_perfect,W_element_perfect,color,components_score,date_end,date_start,elements_score,origin_id,overall_place,overall_total_score,place,school_id,segment_name,starting_place,title,tournament_id,unit_id,season
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,green,26.27,2091-09-22,2091-09-21,28.45,1.0,9,152.48,10,198,Короткая программа,3,2A/3Lzq/LSp4/3Fq+2Lo/FCSp3/StSq3/CCoSp3,351,1,Autumn
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,green,51.26,2091-09-22,2091-09-21,47.5,1.0,9,152.48,9,198,Произвольная программа,6,2A/3F!q+3Lo<</3T</3Lz<+1Eu+2F/FCSp3/ChSq1/2A/3Lz<+2T/3F!</CCoSp3/StSq2/LSp4,351,1,Autumn
1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,green,28.13,2091-10-20,2091-10-19,33.49,0.0,6,157.68,1,198,Короткая программа,6,2A/3Lz/LSp4/3F+2Lo/FCSp3/StSq3/CCoSp3,6842,1,Autumn
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,green,55.81,2091-10-20,2091-10-19,42.25,0.0,6,157.68,7,198,Произвольная программа,11,3Lo</3F!+2Lo</2A/3Lz/FCSp3/ChSq1/2A/3Lz<+1Eu+3S<</3F!q/FCSp*/CCoSp4/StSq2/LSp2*,6842,1,Autumn
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,green,28.27,2092-03-31,2092-03-29,34.54,2.0,4,186.63,6,198,Короткая программа,6,2A/3F/LSp4/3Lz+2Lo/FCSp4/StSq3/CCoSp4,7092,1,Spring
1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,green,56.34,2092-03-31,2092-03-29,67.48,2.0,4,186.63,4,198,Произвольная программа,10,3T/3Lz+2T/2A/3F+2Lo/FCSp3/ChSq1/3Lo/3Lz+2A+2Lo<+SЕQ/3F/CCoSp4/StSq3/LSp4,7092,1,Spring
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,green,26.33,2091-04-30,2091-04-28,29.61,2.0,14,151.55,11,198,Короткая программа,6,2A/3F+3Lo<</FCSp3/StSq3/3Lzq/CCoSp3/LSp3,52,1,Spring
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,green,26.01,2091-04-13,2091-04-11,29.01,2.0,20,53.02,19,198,Короткая программа,19,2A/3F</FCSp3/StSq2/3Lz+3Lo</CCoSp3/LSp4,47,1,Spring
1,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,green,57.41,2091-12-26,2091-12-25,65.13,1.0,3,183.24,3,198,Произвольная программа,6,3T/3Lz+2T/2A/3F+2Lo/FCSp3/ChSq1/3Lo/3Lz+2A+2Tq+SЕQ/3F/CCoSp4/StSq2/LSp4,4844,1,Winter
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,green,54.48,2092-04-26,2092-04-23,60.24,2.0,7,174.24,8,198,Произвольная программа,6,3S/3Lz+3T</2A/3F+2Lo/FCSp4/ChSq1/3Loq/3Lz+2A<+2Lo<+SЕQ/3Fq/CCoSp3/StSq2/LSp4,7115,1,Spring
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,green,49.93,2091-03-25,2091-03-24,54.39,2.0,8,160.25,8,198,Произвольная программа,8,2A/3F+3Lo</3Lz+3T<</2A/CCoSp3/StSq1/3S/3Lz<+1Eu+2F/3F/FCSp3/ChSq1/LSp3,43,1,Spring
1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,green,49.4,2090-12-01,2090-11-29,58.18,2.0,4,164.44,4,198,Произвольная программа,2,2A/3F/3Fq+3Loq/3Lz<+1Eu+2F/3Lzq+2T/3S/CCoSp4/ChSq1/FCSp4/LSp4/StSq2,1,1,Autumn
1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,green,24.74,2090-10-08,2090-10-05,22.87,2.0,28,47.61,27,198,Короткая программа,6,2A/3F+2Lo/FCSp3/StSq1/2Lz<</CCoSp2/LSp4,3,1,Autumn
